B	0.981751 00:00:00.9817510
E	12.247832 00:00:12.2478320
E	12.310098 00:00:12.3100980
I	13.402609 00:00:13.4026090
N	13.425672 00:00:13.4256720
E	13.448734 00:00:13.4487340
E	13.471797 00:00:13.4717970
F	14.04036 00:00:14.0403600
D	14.06526 00:00:14.0652600
E	14.09016 00:00:14.0901600
G	14.115061 00:00:14.1150610
O	14.779685 00:00:14.7796850
L	14.779685 00:00:14.7796850
O	14.779685 00:00:14.7796850
N	15.154653 00:00:15.1546530
I	15.154653 00:00:15.1546530
K	15.154653 00:00:15.1546530
N	15.599369 00:00:15.5993690
I	15.599369 00:00:15.5993690
K	15.599369 00:00:15.5993690
O	17.902608 00:00:17.9026080
N	17.902608 00:00:17.9026080
N	18.096407 00:00:18.0964070
L	18.096407 00:00:18.0964070
I	18.096407 00:00:18.0964070
P	18.452383 00:00:18.4523830
P	18.452383 00:00:18.4523830
P	18.611619 00:00:18.6116190
P	18.611619 00:00:18.6116190
P	18.770729 00:00:18.7707290
P	18.770729 00:00:18.7707290
P	18.926639 00:00:18.9266390
P	18.926639 00:00:18.9266390
P	19.0813 00:00:19.0813000
P	19.0813 00:00:19.0813000
L	19.234725 00:00:19.2347250
I	19.234725 00:00:19.2347250
N	19.388406 00:00:19.3884060
G	19.388406 00:00:19.3884060
P	19.888957 00:00:19.8889570
P	19.888957 00:00:19.8889570
N	19.888957 00:00:19.8889570
H	20.045697 00:00:20.0456970
G	20.045697 00:00:20.0456970
O	20.045697 00:00:20.0456970
N	20.368545 00:00:20.3685450
L	20.368545 00:00:20.3685450
I	20.368545 00:00:20.3685450
P	20.693924 00:00:20.6939240
P	20.693924 00:00:20.6939240
N	20.693924 00:00:20.6939240
J	21.00988 00:00:21.0098800
O	21.00988 00:00:21.0098800
L	21.256591 00:00:21.2565910
I	21.329265 00:00:21.3292650
P	21.329265 00:00:21.3292650
N	21.329265 00:00:21.3292650
G	21.672318 00:00:21.6723180
O	21.672318 00:00:21.6723180
N	22.018339 00:00:22.0183390
G	22.018339 00:00:22.0183390
O	22.018339 00:00:22.0183390
O	23.20979 00:00:23.2097900
N	23.20979 00:00:23.2097900
N	23.20979 00:00:23.2097900
D	23.400237 00:00:23.4002370
I	23.400237 00:00:23.4002370
O	23.400237 00:00:23.4002370
P	23.747073 00:00:23.7470730
P	23.747073 00:00:23.7470730
N	23.747073 00:00:23.7470730
G	23.905051 00:00:23.9050510
O	23.905051 00:00:23.9050510
N	23.905051 00:00:23.9050510
G	24.063287 00:00:24.0632870
O	24.063287 00:00:24.0632870
N	24.063287 00:00:24.0632870
G	24.218688 00:00:24.2186880
O	24.218688 00:00:24.2186880
N	24.218688 00:00:24.2186880
G	24.372654 00:00:24.3726540
O	24.372654 00:00:24.3726540
N	24.372654 00:00:24.3726540
D	24.528425 00:00:24.5284250
I	24.528425 00:00:24.5284250
N	24.528425 00:00:24.5284250
P	24.702439 00:00:24.7024390
O	24.702439 00:00:24.7024390
N	24.702439 00:00:24.7024390
G	25.199276 00:00:25.1992760
P	25.199276 00:00:25.1992760
N	25.199276 00:00:25.1992760
H	25.35979 00:00:25.3597900
G	25.35979 00:00:25.3597900
O	25.35979 00:00:25.3597900
N	25.670004 00:00:25.6700040
G	25.670004 00:00:25.6700040
O	25.670004 00:00:25.6700040
P	26.006327 00:00:26.0063270
P	26.006327 00:00:26.0063270
N	26.006327 00:00:26.0063270
G	26.322283 00:00:26.3222830
P	26.322283 00:00:26.3222830
N	26.322283 00:00:26.3222830
D	26.571039 00:00:26.5710390
I	26.644246 00:00:26.6442460
P	26.644246 00:00:26.6442460
N	26.644246 00:00:26.6442460
G	26.984382 00:00:26.9843820
P	26.984382 00:00:26.9843820
N	26.984382 00:00:26.9843820
D	27.330403 00:00:27.3304030
I	27.330403 00:00:27.3304030
O	27.330403 00:00:27.3304030
P	28.507533 00:00:28.5075330
N	28.507533 00:00:28.5075330
G	28.507533 00:00:28.5075330
P	28.676651 00:00:28.6766510
L	28.676651 00:00:28.6766510
I	28.676651 00:00:28.6766510
P	29.022704 00:00:29.0227040
N	29.022704 00:00:29.0227040
G	29.022704 00:00:29.0227040
P	29.185394 00:00:29.1853940
P	29.185394 00:00:29.1853940
N	29.185394 00:00:29.1853940
L	29.348084 00:00:29.3480840
D	29.348084 00:00:29.3480840
G	29.348084 00:00:29.3480840
P	29.506062 00:00:29.5060620
N	29.506062 00:00:29.5060620
G	29.506062 00:00:29.5060620
P	29.66404 00:00:29.6640400
N	29.66404 00:00:29.6640400
G	29.66404 00:00:29.6640400
P	29.821772 00:00:29.8217720
N	29.821772 00:00:29.8217720
G	29.821772 00:00:29.8217720
P	29.977975 00:00:29.9779750
N	29.977975 00:00:29.9779750
G	29.977975 00:00:29.9779750
O	30.451516 00:00:30.4515160
N	30.451516 00:00:30.4515160
G	30.451516 00:00:30.4515160
P	30.541932 00:00:30.5419320
L	30.541932 00:00:30.5419320
I	30.541932 00:00:30.5419320
P	30.619692 00:00:30.6196920
L	30.619692 00:00:30.6196920
I	30.619692 00:00:30.6196920
P	30.94864 00:00:30.9486400
L	30.94864 00:00:30.9486400
I	30.94864 00:00:30.9486400
N	31.278912 00:00:31.2789120
L	31.278912 00:00:31.2789120
I	31.278912 00:00:31.2789120
P	31.614728 00:00:31.6147280
L	31.614728 00:00:31.6147280
I	31.614728 00:00:31.6147280
N	31.9332 00:00:31.9332000
L	31.9332 00:00:31.9332000
I	31.9332 00:00:31.9332000
N	32.246679 00:00:32.2466790
L	32.246679 00:00:32.2466790
I	32.246679 00:00:32.2466790
N	32.560159 00:00:32.5601590
L	32.560159 00:00:32.5601590
I	32.560159 00:00:32.5601590
N	32.873638 00:00:32.8736380
L	32.873638 00:00:32.8736380
I	32.873638 00:00:32.8736380
N	33.187118 00:00:33.1871180
L	33.187118 00:00:33.1871180
I	33.187118 00:00:33.1871180
N	33.516065 00:00:33.5160650
L	33.516065 00:00:33.5160650
I	33.516065 00:00:33.5160650
P	33.762776 00:00:33.7627760
N	33.803559 00:00:33.8035590
L	33.844342 00:00:33.8443420
O	34.333739 00:00:34.3337390
N	34.333739 00:00:34.3337390
G	34.333739 00:00:34.3337390
P	34.48051 00:00:34.4805100
N	34.48051 00:00:34.4805100
G	34.48051 00:00:34.4805100
P	34.789152 00:00:34.7891520
N	34.789152 00:00:34.7891520
G	34.789152 00:00:34.7891520
P	35.112776 00:00:35.1127760
N	35.112776 00:00:35.1127760
G	35.112776 00:00:35.1127760
O	35.598213 00:00:35.5982130
N	35.598213 00:00:35.5982130
G	35.598213 00:00:35.5982130
P	35.740798 00:00:35.7407980
N	35.740798 00:00:35.7407980
G	35.740798 00:00:35.7407980
P	36.05184 00:00:36.0518400
N	36.05184 00:00:36.0518400
G	36.05184 00:00:36.0518400
P	36.388851 00:00:36.3888510
N	36.388851 00:00:36.3888510
G	36.388851 00:00:36.3888510
O	36.709364 00:00:36.7093640
N	36.709364 00:00:36.7093640
G	36.709364 00:00:36.7093640
P	36.956075 00:00:36.9560750
L	36.956075 00:00:36.9560750
I	36.956075 00:00:36.9560750
P	37.038312 00:00:37.0383120
N	37.038312 00:00:37.0383120
G	37.038312 00:00:37.0383120
O	37.361936 00:00:37.3619360
N	37.361936 00:00:37.3619360
G	37.361936 00:00:37.3619360
P	37.710976 00:00:37.7109760
L	37.710976 00:00:37.7109760
I	37.710976 00:00:37.7109760
O	38.818685 00:00:38.8186850
N	38.818685 00:00:38.8186850
C	38.992699 00:00:38.9926990
C	38.992699 00:00:38.9926990
F	39.341597 00:00:39.3415970
D	39.341597 00:00:39.3415970
F	39.499795 00:00:39.4997950
D	39.499795 00:00:39.4997950
F	39.655078 00:00:39.6550780
D	39.655078 00:00:39.6550780
G	40.451216 00:00:40.4512160
L	40.532561 00:00:40.5325610
E	40.613906 00:00:40.6139060
E	40.691666 00:00:40.6916660
E	40.769427 00:00:40.7694270
E	40.847187 00:00:40.8471870
E	40.924948 00:00:40.9249480
E	41.002708 00:00:41.0027080
E	41.080469 00:00:41.0804690
E	41.166478 00:00:41.1664780
E	41.252487 00:00:41.2524870
E	41.331476 00:00:41.3314760
E	41.410465 00:00:41.4104650
E	41.489454 00:00:41.4894540
E	41.568443 00:00:41.5684430
E	41.648061 00:00:41.6480610
C	41.727679 00:00:41.7276790
C	41.807297 00:00:41.8072970
C	41.886915 00:00:41.8869150
C	41.966533 00:00:41.9665330
C	42.04615 00:00:42.0461500
C	42.125768 00:00:42.1257680
C	42.205386 00:00:42.2053860
C	42.288535 00:00:42.2885350
C	42.371683 00:00:42.3716830
C	42.454832 00:00:42.4548320
C	42.53798 00:00:42.5379800
H	42.648538 00:00:42.6485380
C	42.759097 00:00:42.7590970
I	42.842016 00:00:42.8420160
N	42.855835 00:00:42.8558350
G	42.869655 00:00:42.8696550
O	44.046786 00:00:44.0467860
N	44.046786 00:00:44.0467860
F	44.2208 00:00:44.2208000
D	44.2208 00:00:44.2208000
F	44.569697 00:00:44.5696970
D	44.569697 00:00:44.5696970
F	44.730211 00:00:44.7302110
D	44.730211 00:00:44.7302110
F	44.890254 00:00:44.8902540
D	44.890254 00:00:44.8902540
G	45.690628 00:00:45.6906280
L	45.768998 00:00:45.7689980
E	45.847368 00:00:45.8473680
E	45.925738 00:00:45.9257380
E	46.004108 00:00:46.0041080
E	46.082478 00:00:46.0824780
E	46.160848 00:00:46.1608480
E	46.239218 00:00:46.2392180
E	46.317587 00:00:46.3175870
E	46.403597 00:00:46.4035970
E	46.489606 00:00:46.4896060
E	46.568595 00:00:46.5685950
E	46.647584 00:00:46.6475840
E	46.726573 00:00:46.7265730
E	46.805562 00:00:46.8055620
E	46.884551 00:00:46.8845510
C	46.96354 00:00:46.9635400
C	47.042529 00:00:47.0425290
C	47.121518 00:00:47.1215180
C	47.200507 00:00:47.2005070
C	47.279496 00:00:47.2794960
C	47.358485 00:00:47.3584850
C	47.437474 00:00:47.4374740
C	47.517731 00:00:47.5177310
C	47.597987 00:00:47.5979870
C	47.678244 00:00:47.6782440
C	47.758501 00:00:47.7585010
H	47.846529 00:00:47.8465290
C	47.934557 00:00:47.9345570
H	48.022586 00:00:48.0225860
I	48.110614 00:00:48.1106140
L	48.110614 00:00:48.1106140
G	49.287744 00:00:49.2877440
N	49.287744 00:00:49.2877440
P	49.456862 00:00:49.4568620
P	49.456862 00:00:49.4568620
P	49.802915 00:00:49.8029150
P	49.802915 00:00:49.8029150
L	49.965605 00:00:49.9656050
I	49.965605 00:00:49.9656050
N	50.128295 00:00:50.1282950
G	50.128295 00:00:50.1282950
P	50.290984 00:00:50.2909840
P	50.290984 00:00:50.2909840
P	50.453674 00:00:50.4536740
P	50.453674 00:00:50.4536740
P	50.616329 00:00:50.6163290
P	50.616329 00:00:50.6163290
N	50.778666 00:00:50.7786660
P	50.778666 00:00:50.7786660
N	50.941004 00:00:50.9410040
G	50.941004 00:00:50.9410040
P	51.018805 00:00:51.0188050
N	51.096606 00:00:51.0966060
H	51.252208 00:00:51.2522080
G	51.252208 00:00:51.2522080
P	51.330008 00:00:51.3300080
N	51.407809 00:00:51.4078090
H	51.568323 00:00:51.5683230
G	51.568323 00:00:51.5683230
P	51.64858 00:00:51.6485800
L	51.728837 00:00:51.7288370
F	51.889351 00:00:51.8893510
B	51.889351 00:00:51.8893510
P	51.969607 00:00:51.9696070
N	52.051585 00:00:52.0515850
B	52.227642 00:00:52.2276420
G	52.227642 00:00:52.2276420
P	52.309879 00:00:52.3098790
L	52.392115 00:00:52.3921150
E	52.556589 00:00:52.5565890
I	52.556589 00:00:52.5565890
P	52.638826 00:00:52.6388260
L	52.721063 00:00:52.7210630
E	52.882007 00:00:52.8820070
I	52.882007 00:00:52.8820070
P	52.962479 00:00:52.9624790
L	53.042951 00:00:53.0429510
E	53.203896 00:00:53.2038960
I	53.203896 00:00:53.2038960
P	53.284368 00:00:53.2843680
L	53.36484 00:00:53.3648400
E	53.525784 00:00:53.5257840
I	53.525784 00:00:53.5257840
P	53.606256 00:00:53.6062560
L	53.686728 00:00:53.6867280
E	53.847673 00:00:53.8476730
I	53.847673 00:00:53.8476730
P	53.928145 00:00:53.9281450
L	54.008617 00:00:54.0086170
E	54.173091 00:00:54.1730910
I	54.173091 00:00:54.1730910
P	54.255328 00:00:54.2553280
L	54.337564 00:00:54.3375640
I	54.584275 00:00:54.5842750
N	54.625393 00:00:54.6253930
L	54.666512 00:00:54.6665120
O	54.908838 00:00:54.9088380
N	54.966065 00:00:54.9660650
E	55.021337 00:00:55.0213370
E	55.074511 00:00:55.0745110
E	55.125711 00:00:55.1257110
E	55.17508 00:00:55.1750800
E	55.248465 00:00:55.2484650
E	55.321851 00:00:55.3218510
E	55.403196 00:00:55.4031960
E	55.48454 00:00:55.4845400
E	55.565885 00:00:55.5658850
E	55.64723 00:00:55.6472300
E	55.728575 00:00:55.7285750
E	55.80992 00:00:55.8099200
E	55.891265 00:00:55.8912650
F	55.97261 00:00:55.9726100
G	56.270094 00:00:56.2700940
N	56.316991 00:00:56.3169910
E	56.36251 00:00:56.3625100
E	56.406687 00:00:56.4066870
E	56.449562 00:00:56.4495620
E	56.491282 00:00:56.4912820
E	56.54018 00:00:56.5401800
E	56.597215 00:00:56.5972150
E	56.654249 00:00:56.6542490
E	56.719325 00:00:56.7193250
E	56.784401 00:00:56.7844010
E	56.849476 00:00:56.8494760
E	56.914552 00:00:56.9145520
E	56.979628 00:00:56.9796280
E	57.044704 00:00:57.0447040
E	57.11379 00:00:57.1137900
E	57.184213 00:00:57.1842130
E	57.254635 00:00:57.2546350
I	57.323873 00:00:57.3238730
N	57.323873 00:00:57.3238730
G	57.323873 00:00:57.3238730
O	57.658321 00:00:57.6583210
P	57.658321 00:00:57.6583210
L	57.922405 00:00:57.9224050
I	58.010433 00:00:58.0104330
N	58.010433 00:00:58.0104330
L	58.010433 00:00:58.0104330
I	58.362546 00:00:58.3625460
P	58.362546 00:00:58.3625460
N	58.73087 00:00:58.7308700
G	58.73087 00:00:58.7308700
O	58.73087 00:00:58.7308700
O	59.394265 00:00:59.3942650
L	60.210339 00:01:00.2103390
G	60.210339 00:01:00.2103390
N	60.563135 00:01:00.5631350
E	60.887686 00:01:00.8876860
F	61.204147 00:01:01.2041470
I	61.204147 00:01:01.2041470
P	61.516774 00:01:01.5167740
P	61.516774 00:01:01.5167740
P	61.826256 00:01:01.8262560
P	61.826256 00:01:01.8262560
P	62.13254 00:01:02.1325400
P	62.13254 00:01:02.1325400
P	62.435459 00:01:02.4354590
P	62.435459 00:01:02.4354590
N	62.754254 00:01:02.7542540
O	62.754254 00:01:02.7542540
P	63.062896 00:01:03.0628960
P	63.062896 00:01:03.0628960
O	63.371538 00:01:03.3715380
N	63.371538 00:01:03.3715380
L	63.687552 00:01:03.6875520
I	63.687552 00:01:03.6875520
O	63.923358 00:01:03.9233580
P	63.999927 00:01:03.9999270
P	63.999927 00:01:03.9999270
P	64.306206 00:01:04.3062060
P	64.306206 00:01:04.3062060
P	64.612484 00:01:04.6124840
P	64.612484 00:01:04.6124840
P	64.925112 00:01:04.9251120
P	64.925112 00:01:04.9251120
N	65.182844 00:01:05.1828440
G	65.182844 00:01:05.1828440
O	65.182844 00:01:05.1828440
N	65.410808 00:01:05.4108080
D	65.410808 00:01:05.4108080
F	65.486795 00:01:05.4867950
B	65.486795 00:01:05.4867950
H	65.714759 00:01:05.7147590
D	65.714759 00:01:05.7147590
C	65.790747 00:01:05.7907470
C	65.790747 00:01:05.7907470
I	66.018711 00:01:06.0187110
P	66.018711 00:01:06.0187110
P	66.094698 00:01:06.0946980
P	66.094698 00:01:06.0946980
P	66.335469 00:01:06.3354690
P	66.335469 00:01:06.3354690
P	66.415726 00:01:06.4157260
P	66.415726 00:01:06.4157260
N	66.64369 00:01:06.6436900
I	66.64369 00:01:06.6436900
P	66.719677 00:01:06.7196770
P	66.719677 00:01:06.7196770
O	66.947641 00:01:06.9476410
N	66.947641 00:01:06.9476410
P	67.023629 00:01:07.0236290
P	67.023629 00:01:07.0236290
P	67.251593 00:01:07.2515930
P	67.251593 00:01:07.2515930
P	67.32758 00:01:07.3275800
P	67.32758 00:01:07.3275800
N	67.575906 00:01:07.5759060
O	67.575906 00:01:07.5759060
P	67.667987 00:01:07.6679870
P	67.667987 00:01:07.6679870
P	67.827223 00:01:07.8272230
P	67.827223 00:01:07.8272230
P	67.986459 00:01:07.9864590
P	67.986459 00:01:07.9864590
P	68.148271 00:01:08.1482710
P	68.148271 00:01:08.1482710
P	68.310083 00:01:08.3100830
O	68.310083 00:01:08.3100830
P	68.480151 00:01:08.4801510
P	68.480151 00:01:08.4801510
P	68.650219 00:01:08.6502190
P	68.650219 00:01:08.6502190
P	68.827839 00:01:08.8278390
P	68.827839 00:01:08.8278390
P	69.04859 00:01:09.0485900
P	69.04859 00:01:09.0485900
O	69.752815 00:01:09.7528150
N	70.114478 00:01:10.1144780
E	70.476142 00:01:10.4761420
I	70.641979 00:01:10.6419790
N	70.807817 00:01:10.8078170
G	70.973654 00:01:10.9736540
N	71.12563 00:01:11.1256300
D	71.776728 00:01:11.7767280
B	71.939861 00:01:11.9398610
N	72.102993 00:01:12.1029930
G	72.266125 00:01:12.2661250
N	72.418101 00:01:12.4181010
H	73.019642 00:01:13.0196420
C	73.11345 00:01:13.1134500
I	73.232925 00:01:13.2329250
P	73.352399 00:01:13.3523990
K	73.470045 00:01:13.4700450
N	73.582378 00:01:13.5823780
I	73.692667 00:01:13.6926670
K	73.800723 00:01:13.8007230
N	73.909478 00:01:13.9094780
I	74.018233 00:01:14.0182330
K	74.126988 00:01:14.1269880
P	74.235743 00:01:14.2357430
L	74.344497 00:01:14.3444970
H	74.453252 00:01:14.4532520
D	74.534422 00:01:14.5344220
G	74.615593 00:01:14.6155930
N	74.697293 00:01:14.6972930
G	74.77953 00:01:14.7795300
L	74.862448 00:01:14.8624480
I	74.945922 00:01:14.9459220
N	75.029957 00:01:15.0299570
G	75.114276 00:01:15.1142760
L	75.19817 00:01:15.1981700
I	75.28379 00:01:15.2837900
N	75.371206 00:01:15.3712060
H	75.460176 00:01:15.4601760
G	75.550759 00:01:15.5507590
O	75.64735 00:01:15.6473500
N	75.752939 00:01:15.7529390
H	75.869008 00:01:15.8690080
G	75.869008 00:01:15.8690080
K	76.423852 00:01:16.4238520
N	76.423852 00:01:16.4238520
C	76.775964 00:01:16.7759640
D	76.775964 00:01:16.7759640
C	77.128077 00:01:17.1280770
D	77.128077 00:01:17.1280770
C	77.478653 00:01:17.4786530
I	77.478653 00:01:17.4786530
P	77.833594 00:01:17.8335940
P	77.833594 00:01:17.8335940
P	78.195603 00:01:18.1956030
P	78.195603 00:01:18.1956030
N	78.565473 00:01:18.5654730
G	78.565473 00:01:18.5654730
O	78.565473 00:01:18.5654730
N	78.943018 00:01:18.9430180
H	78.943018 00:01:18.9430180
I	78.943018 00:01:18.9430180
P	79.321806 00:01:19.3218060
P	79.321806 00:01:19.3218060
L	79.605897 00:01:19.6058970
I	79.700594 00:01:19.7005940
P	79.700594 00:01:19.7005940
N	79.700594 00:01:19.7005940
G	80.079382 00:01:20.0793820
O	80.079382 00:01:20.0793820
P	80.478318 00:01:20.4783180
N	80.544807 00:01:20.5448070
L	80.611297 00:01:20.6112970
E	81.426008 00:01:21.4260080
E	81.526268 00:01:21.5262680
E	81.602142 00:01:21.6021420
C	81.656699 00:01:21.6566990
C	81.736874 00:01:21.7368740
C	81.814578 00:01:21.8145780
C	81.890323 00:01:21.8903230
C	81.96497 00:01:21.9649700
C	82.039063 00:01:22.0390630
C	82.112809 00:01:22.1128090
C	82.186485 00:01:22.1864850
C	82.259498 00:01:22.2594980
H	82.337118 00:01:22.3371180
C	82.42525 00:01:22.4252500
G	82.540819 00:01:22.5408190
P	82.72176 00:01:22.7217600
P	82.886234 00:01:22.8862340
O	83.050708 00:01:23.0507080
N	83.219342 00:01:23.2193420
N	83.384575 00:01:23.3845750
O	83.538896 00:01:23.5388960
N	83.692607 00:01:23.6926070
I	83.845726 00:01:23.8457260
P	83.997702 00:01:23.9977020
P	84.149086 00:01:24.1490860
P	84.299896 00:01:24.2998960
P	84.449597 00:01:24.4495970
P	84.598723 00:01:24.5987230
P	84.747293 00:01:24.7472930
P	84.894786 00:01:24.8947860
P	85.041721 00:01:25.0417210
N	85.18803 00:01:25.1880300
O	85.337478 00:01:25.3374780
P	85.486067 00:01:25.4860670
P	85.634655 00:01:25.6346550
O	85.783244 00:01:25.7832440
N	85.931832 00:01:25.9318320
P	86.089211 00:01:26.0892110
P	86.243532 00:01:26.2435320
P	86.397853 00:01:26.3978530
N	86.550992 00:01:26.5509920
G	86.550992 00:01:26.5509920
O	86.704131 00:01:26.7041310
P	86.85727 00:01:26.8572700
N	86.85727 00:01:26.8572700
G	87.010187 00:01:27.0101870
O	87.166139 00:01:27.1661390
N	87.166139 00:01:27.1661390
L	87.327969 00:01:27.3279690
I	87.495914 00:01:27.4959140
P	87.682829 00:01:27.6828290
N	87.799175 00:01:27.7991750
B	87.915019 00:01:27.9150190
N	87.915019 00:01:27.9150190
G	88.030359 00:01:28.0303590
N	88.14471 00:01:28.1447100
B	88.258575 00:01:28.2585750
L	88.258575 00:01:28.2585750
I	88.371954 00:01:28.3719540
N	88.484376 00:01:28.4843760
B	88.596329 00:01:28.5963290
L	88.596329 00:01:28.5963290
I	88.707812 00:01:28.7078120
N	88.81837 00:01:28.8183700
B	88.936188 00:01:28.9361880
L	88.936188 00:01:28.9361880
I	89.058103 00:01:29.0581030
N	89.174449 00:01:29.1744490
B	89.290796 00:01:29.2907960
G	89.290796 00:01:29.2907960
P	89.407143 00:01:29.4071430
N	89.523489 00:01:29.5234890
B	89.639836 00:01:29.6398360
G	89.639836 00:01:29.6398360
O	89.755679 00:01:29.7556790
N	89.87102 00:01:29.8710200
B	89.986612 00:01:29.9866120
G	89.986612 00:01:29.9866120
P	90.102958 00:01:30.1029580
N	90.219305 00:01:30.2193050
B	90.342601 00:01:30.3426010
N	90.342601 00:01:30.3426010
N	90.468206 00:01:30.4682060
B	90.468206 00:01:30.4682060
G	90.468206 00:01:30.4682060
O	90.632679 00:01:30.6326790
N	90.632679 00:01:30.6326790
G	90.632679 00:01:30.6326790
N	90.797153 00:01:30.7971530
C	90.797153 00:01:30.7971530
I	90.797153 00:01:30.7971530
P	90.959485 00:01:30.9594850
N	90.959485 00:01:30.9594850
H	90.959485 00:01:30.9594850
H	91.123581 00:01:31.1235810
I	91.123581 00:01:31.1235810
N	91.123581 00:01:31.1235810
P	91.290415 00:01:31.2904150
O	91.290415 00:01:31.2904150
N	91.290415 00:01:31.2904150
F	91.459766 00:01:31.4597660
B	91.459766 00:01:31.4597660
E	91.459766 00:01:31.4597660
F	91.637386 00:01:31.6373860
H	91.637386 00:01:31.6373860
I	91.637386 00:01:31.6373860
O	91.807223 00:01:31.8072230
N	91.841191 00:01:31.8411910
E	91.875158 00:01:31.8751580
E	91.909125 00:01:31.9091250
I	92.595231 00:01:32.5952310
N	92.956895 00:01:32.9568950
E	93.317392 00:01:33.3173920
I	93.402426 00:01:33.4024260
N	93.486946 00:01:33.4869460
G	93.571111 00:01:33.5711110
N	93.654572 00:01:33.6545720
C	93.720907 00:01:33.7209070
E	93.786035 00:01:33.7860350
E	93.851024 00:01:33.8510240
E	93.919084 00:01:33.9190840
E	93.992968 00:01:33.9929680
E	94.060969 00:01:34.0609690
E	94.129349 00:01:34.1293490
E	94.197292 00:01:34.1972920
E	94.264746 00:01:34.2647460
E	94.331694 00:01:34.3316940
E	94.398226 00:01:34.3982260
E	94.464345 00:01:34.4643450
E	94.530056 00:01:34.5300560
F	94.595309 00:01:34.5953090
H	94.660562 00:01:34.6605620
G	94.742128 00:01:34.7421280
N	94.823839 00:01:34.8238390
G	94.906076 00:01:34.9060760
N	94.988313 00:01:34.9883130
H	95.071039 00:01:35.0710390
C	95.126318 00:01:35.1263180
E	95.181632 00:01:35.1816320
E	95.267135 00:01:35.2671350
E	95.330266 00:01:35.3302660
E	95.384456 00:01:35.3844560
E	95.438834 00:01:35.4388340
E	95.493211 00:01:35.4932110
E	95.547589 00:01:35.5475890
E	95.601966 00:01:35.6019660
E	95.656343 00:01:35.6563430
E	95.711623 00:01:35.7116230
E	95.766902 00:01:35.7669020
E	95.822181 00:01:35.8221810
E	95.87746 00:01:35.8774600
F	95.932739 00:01:35.9327390
H	95.988018 00:01:35.9880180
G	96.070937 00:01:36.0709370
P	96.153856 00:01:36.1538560
L	96.236775 00:01:36.2367750
F	96.32054 00:01:36.3205400
G	96.405002 00:01:36.4050020
P	96.488337 00:01:36.4883370
K	96.57044 00:01:36.5704400
P	96.651218 00:01:36.6512180
K	96.732784 00:01:36.7327840
